,Accuracy,Precision,Recall,F1
a,93.125,92.80397022332506,93.5,93.15068493150684
b,90.875,90.57071960297767,91.25,90.90909090909092
c,89.25,89.05472636815921,89.5,89.27680798004988
d,88.375,87.71498771498771,89.25,88.47583643122676
