,Accuracy,Precision,Recall,F1
a,93.5,93.28358208955224,93.75,93.51620947630922
b,90.875,90.77306733167082,91.0,90.88639200998752
c,90.125,89.82630272952854,90.5,90.16189290161892
d,88.0,87.4384236453202,88.75,88.08933002481389
